bucket,scope,restriction,a,se_a,b,se_b,cov_ab,b_star,z_vs_bstar,edge_c,edge_se_c,edge_lo_c,edge_hi_c,edge_z,best_price,n_windows,n_obs,share
5-0s,pooled,all,0.032846968045731374,0.04450403458520476,1.1544269157185458,0.02998249713840145,0.000319144529991529,1.0628644646426195,3.0538634141535037,1.8963730631105549,0.7896364800041986,0.3486855623023255,3.444060563918784,2.4015773221374874,0.8465183069619999,21107,105520,1.0
5-0s,pooled,interior 5-95c,0.03485142465173776,0.047013399728331164,1.1288577785088652,0.03691110317331291,0.000296955629121599,1.0628644646427692,1.787898713192885,1.4565904372977097,0.8903891785661477,-0.2885723526919399,3.2017532272873592,1.6359031223215819,0.8539117921749999,5479,17418,0.16506823351023503
5-0s,pooled,interior 10-90c,0.04295255335423298,0.04913377845926654,1.1064987313744088,0.04652925469170835,0.0005058446457082393,1.064207637086933,0.9089140706784694,1.1309066652536042,1.086854587231771,-0.9993283257206671,3.2611416562278754,1.0405317128338523,0.8575647848689999,4256,12952,0.12274450341167552
