bucket,scope,restriction,a,se_a,b,se_b,cov_ab,b_star,z_vs_bstar,edge_c,edge_se_c,edge_lo_c,edge_hi_c,edge_z,best_price,n_windows,n_obs,share
5-0s,pooled,all,0.032846968045731374,0.03853352897596902,1.1544269157185458,0.015711702941863793,2.3684887810672593e-05,1.0628644646426195,5.827659255952351,1.8963730631105549,0.5003789401069164,0.9156303405009987,2.877115785720111,3.789873855812867,0.8465183069619999,21107,105520,1.0
5-0s,pooled,interior 5-95c,0.03485142465173776,0.04004215807512313,1.1288577785088652,0.025777562213451052,4.678114082217197e-05,1.0628644646427692,2.5601068603632284,1.4565904372977097,0.6368532651265746,0.20835803764962346,2.704822836945796,2.287168044915672,0.8539117921749999,5479,17418,0.16506823351023503
5-0s,pooled,interior 10-90c,0.04295255335423298,0.04114516119321929,1.1064987313744088,0.03146904973351879,4.1823126419046126e-05,1.064207637086933,1.343894863225888,1.1309066652536042,0.7284487473184996,-0.2968528794906551,2.558666209997863,1.5524862516636848,0.8575647848689999,4256,12952,0.12274450341167552
5-0s,train,all,0.04493398437578725,0.04151368998135654,1.1346067478453168,0.017300402875624368,3.3256022223439575e-05,1.0628644646426195,4.14685621591966,1.666776592951534,0.5556285662509715,0.5777446030996298,2.755808582803438,2.999803635363609,0.845910308178,15831,79151,1.0
5-0s,train,interior 5-95c,0.05115791538612472,0.04359964769944115,1.1318082814747237,0.028097843483051454,5.476285679599872e-05,1.0628644646427692,2.453704921288398,1.6828215481164246,0.7142662263171046,0.2828597445348997,3.0827833516979495,2.356014446872813,0.8430638138709999,4526,14356,0.18137484049475053
5-0s,train,interior 10-90c,0.05382897288661872,0.044681839216503934,1.0995822976084684,0.03430214931679632,5.4693612276014306e-05,1.064207637086933,1.0312665890068293,1.1162393759489408,0.8102708477967401,-0.4718914857326697,2.7043702376305516,1.3776126575257885,0.8526612946759999,3552,10784,0.13624590971687028
5-0s,oos,all,-0.03409172360061614,0.10293527981427712,1.240080269084459,0.03861018923510135,-6.070435638837864e-05,1.0628644646426195,4.589871429087139,2.7042048419445273,1.1591042458767076,0.4323605200261804,4.976049163862874,2.3330126272630096,0.851421797155,5276,26369,1.0
5-0s,oos,interior 5-95c,-0.04664500631529318,0.10100028221875516,1.1184127442020422,0.06353916120736965,0.00014256618591864208,1.0628644646427692,0.874236903725921,0.567334338209881,1.2556093273366054,-1.8936599433698655,3.0283286197896278,0.45183985644110247,0.90635418729,953,3062,0.11612120292768023
5-0s,oos,interior 10-90c,-0.015016460702146534,0.10560337863681256,1.139877979144962,0.07882419407837418,3.7916127165247226e-05,1.064207637086933,0.9599887819061087,1.1780631229464071,1.6495744229613862,-2.05510274605791,4.411228991950724,0.7141618508072513,0.877542744913,704,2168,0.08221775569797869
300-198s,pooled,all,-0.0028927041666533485,0.014385660285494331,1.0381274876995454,0.017471381121166973,-2.839949329581221e-06,1.0628644646426195,-1.4158569818561555,-0.3497053020074122,0.19494938360981612,-0.7318060938826518,0.03239548986782742,-1.7938261487778502,0.9605675788629999,21138,2142961,1.0
300-198s,pooled,interior 5-95c,-0.002984429516009357,0.014385559916877084,1.0374638745822171,0.017565113649488807,-2.701384241184215e-06,1.0628644646427692,-1.4460817372104673,-0.3571331085945188,0.19208128443160988,-0.7336124260804742,0.019346208891436567,-1.8592811353345322,0.9617915764149999,21138,2134895,0.9962360490928206
300-198s,pooled,interior 10-90c,-0.0035590167752092374,0.01438819100336465,1.033456410136969,0.017981809910336728,-2.2424604692936902e-06,1.064207637086933,-1.7101296867945845,-0.3987258626548349,0.17017086093186604,-0.7322607500812923,-0.06519097522837747,-2.3430912934881314,0.9693390613199999,21138,2103840,0.9817444181205351
