bucket,split,a,se_a,b,se_b,cov_ab,z_vs_1,z_vs_bstar,edge_c,edge_se_c,edge_lo_c,edge_hi_c,edge_z,best_price,n_windows,n_days,n_obs
300-198s,train,0.008132476779248157,0.01660767910820208,1.0378191815606181,0.02026815084958169,-6.791939262026135e-06,1.8659413895865438,-1.2356965007746765,-0.3118881092217191,0.2572439148134232,-0.8160861822560286,0.1923099638125903,-1.2124217183054802,0.951552596893,15844,62,1608762
300-198s,oos,-0.03646449048074047,0.02881057297780068,1.0370148171371016,0.03447544040335166,1.346053581281243e-05,1.0736575574971656,-0.749798906209326,-0.43901606991160314,0.21918468558882243,-0.8686180536656951,-0.009414086157511214,-2.0029504740818043,0.98250903498,5294,22,534199
198-99s,train,0.014984769816738346,0.018898876259947895,1.0489507513870246,0.01560811604531205,-1.739229323322561e-06,3.1362370221310067,-0.8914409154315522,-0.12206373260724734,0.2628936751252026,-0.6373353358526445,0.39320787063814977,-0.4643083655364273,0.9270621458739999,15844,62,1568197
198-99s,oos,-0.018095557266758464,0.03336097630790879,1.042485801854893,0.025591773582534446,1.232860759823172e-05,1.6601351101311796,-0.7962974008817529,-0.35304168469689756,0.2782287607097548,-0.8983700556880169,0.19228668629422174,-1.268889973115277,0.96461907076,5294,22,524104
99-60s,train,0.02251295898808322,0.02220525429227196,1.0518692277697352,0.015419470830536254,4.84987260876457e-06,3.363878588298568,-0.713074851512391,-0.027720712912424172,0.2951217031368458,-0.606159251060642,0.5507178252357936,-0.09392976733930773,0.915667668663,15844,62,617846
99-60s,oos,-0.009939567718449904,0.04022757443226533,1.0290223369753513,0.02618847037346836,1.9135298737942514e-05,1.1082104667233228,-1.2922529336250899,-0.4476519948330576,0.18600179814346718,-0.8122155191942533,-0.08308847047186196,-2.406707888317155,0.9812490374999999,5294,22,206466
60-30s,train,0.028265915553271483,0.025201372938175672,1.0530703233111547,0.015420437058654722,3.6708907324217827e-06,3.4415576620358475,-0.6351403202263889,0.03298755850154633,0.32075426794436107,-0.5956908066694013,0.661665923672494,0.10284370871494825,0.9083316833349999,15844,62,475226
60-30s,oos,0.008706320345083687,0.04663634505171077,1.0440270951464163,0.027073391733067206,5.0304062435442536e-05,1.6262127619806876,-0.6957890493341986,-0.22814306990719485,0.4469048925567973,-1.1040766593185174,0.6477905195041278,-0.5104957983385695,0.9405006189969999,5294,22,158816
30-10s,train,0.025885244567664223,0.029949498772464663,1.061638368936597,0.01602629655974496,-3.98186728532624e-06,3.846076896606349,-0.07650524258376283,0.16115206804192506,0.36026691998457283,-0.5449710951278377,0.8672752312116878,0.44731297574816425,0.9012421975139999,15844,62,316745
30-10s,oos,-0.03369112458306032,0.05793814728472228,1.085640418906335,0.029797493042383882,-1.081257815287772e-06,2.8740813458541687,0.7643580696979745,0.14089137268696128,0.5681822457965227,-0.9727458290742231,1.2545285744481456,0.2479686293073953,0.9238076523829999,5294,22,105705
10-5s,train,0.04009540779628631,0.03402529178405015,1.032967503870475,0.015655721174220504,-4.185832475668473e-07,2.1057799576017637,-1.9096508196233253,-0.21553172479787763,0.32691314267344423,-0.8562814844378284,0.4252180348420731,-0.6592935451762297,0.924240651517,15835,62,79165
10-5s,oos,-0.023844371683203656,0.07647139454148046,1.1761699737414746,0.03779601620371808,4.5388548370742396e-05,4.661072553041829,2.997816184863127,1.7230272451202566,0.9582210108244986,-0.1550859360957606,3.601140426336274,1.7981522275718862,0.8669317661349999,5278,22,26388
5-0s,train,0.04493398437578725,0.04151368998135654,1.1346067478453168,0.017300402875624368,3.3256022223439575e-05,7.7805556791381285,4.14685621591966,1.666776592951534,0.5556285662509715,0.5777446030996298,2.755808582803438,2.999803635363609,0.845910308178,15831,62,79151
5-0s,oos,-0.03409172360061614,0.10293527981427712,1.240080269084459,0.03861018923510135,-6.070435638837864e-05,6.218054711480069,4.589871429087139,2.7042048419445273,1.1591042458767076,0.4323605200261804,4.976049163862874,2.3330126272630096,0.851421797155,5276,22,26369
